"reference_id","citation_key","citation_aliases","authors","year","title","publication","volume","issue","pages","doi","hyperlink","formatted_reference","reference_type","metadata_source","source_types","core_criteria","related_criteria","model_applications","glossary_terms","landing_sections","match_status","review_notes"
"chevalier_2021","Chevalier et al. 2021","Chevalier et al. 2021","Chevalier, Mathieu, et al.","2022","Accounting for Niche Truncation to Improve Spatial and Temporal Predictions of Species Distributions","Frontiers in Ecology and Evolution","","","","10.3389/fevo.2022.944116","https://doi.org/10.3389/fevo.2022.944116","Chevalier, Mathieu, et al. “Accounting for Niche Truncation to Improve Spatial and Temporal Predictions of Species Distributions.” Frontiers in Ecology and Evolution, Volume 10-2022, 2022, https://doi.org/10.3389/fevo.2022.944116.","journal-article","Zotero bibliography","Core criterion","Prediction 10: Species data covers the environmental extent; Prediction 21.1: Model complexity and structure are appropriate (under fit models); Projection 10: Species data covers the environmental extent; Projection 21.1: Model complexity and structure are appropriate (under fit models)","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Chevalier et al. 2021""; Zotero gives first author ""Chevalier"" and publication year 2022. Confirm the author/year and update the source citation if appropriate."
"chevalier_2022","Chevalier et al. 2022","Chevalier et al. 2022","Chevalier, Mathieu, et al.","2022","Accounting for Niche Truncation to Improve Spatial and Temporal Predictions of Species Distributions","Frontiers in Ecology and Evolution","","","","10.3389/fevo.2022.944116","https://doi.org/10.3389/fevo.2022.944116","Chevalier, Mathieu, et al. “Accounting for Niche Truncation to Improve Spatial and Temporal Predictions of Species Distributions.” Frontiers in Ecology and Evolution, Volume 10-2022, 2022, https://doi.org/10.3389/fevo.2022.944116.","journal-article","Zotero bibliography","Core criterion","Prediction 10: Species data covers the environmental extent; Projection 10: Species data covers the environmental extent; Projection 2: Niche stability","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"cobos_2019","Cobos et al. 2019","Cobos et al. 2019","","2019","","","","","","","https://search.crossref.org/?q=Cobos%20et%20al.%202019","","","Unresolved","Related criterion","","Prediction 29: Predictor variables are appropriately reduced, if applicable; Projection 29: Predictor variables are appropriately reduced, if applicable","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"comte_2013","Comte & Grenoulliet 2013","Comte & Grenoulliet 2013","","2013","","","","","","","https://search.crossref.org/?q=Comte%20%26%20Grenoulliet%202013","","","Unresolved","Core criterion","Prediction 14: Perfect detection ; Projection 14: Perfect detection","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"connor_2017","Connor et al. 2017","Connor et al. 2017","Connor, Thomas, et al.","2018","Effects of Grain Size and Niche Breadth on Species Distribution Modeling","Ecography","41","8","1270–82","10.1111/ecog.03416","https://doi.org/10.1111/ecog.03416","Connor, Thomas, et al. “Effects of Grain Size and Niche Breadth on Species Distribution Modeling.” Ecography, vol. 41, no. 8, 2018, pp. 1270–82, https://doi.org/10.1111/ecog.03416.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Projection 16.1: Predictors resolution matches response scale (spatial)","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Connor et al. 2017""; Zotero gives first author ""Connor"" and publication year 2018. Confirm the author/year and update the source citation if appropriate."
"cordier_2020","Cordier et al. 2020","Cordier et al. 2020","","2020","","","","","","","https://search.crossref.org/?q=Cordier%20et%20al.%202020","","","Unresolved","Model application","","","Invasion risk screening","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"costa_2015","Costa et al. 2015","Costa et al. 2015","Costa, Hugo, et al.","2015","Impacts of Species Misidentification on Species Distribution Modeling with Presence-Only Data","ISPRS International Journal of Geo-Information","4","4","2496–518","10.3390/ijgi4042496","https://doi.org/10.3390/ijgi4042496","Costa, Hugo, et al. “Impacts of Species Misidentification on Species Distribution Modeling with Presence-Only Data.” ISPRS International Journal of Geo-Information, vol. 4, no. 4, 2015, pp. 2496–518, https://doi.org/10.3390/ijgi4042496.","journal-article","Zotero bibliography","Core criterion","Prediction 7: Correct taxonomic identification; Projection 7: Correct taxonomic identification","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"davis_2005","Davis et al. 2005","Davis et al. 2005","Davis, Margaret B., et al.","2005","Evolutionary Responses to Changing Climate","Ecology","86","7","1704–14","10.1890/03-0788","https://doi.org/10.1890/03-0788","Davis, Margaret B., et al. “Evolutionary Responses to Changing Climate.” Ecology, vol. 86, no. 7, 2005, pp. 1704–14, https://doi.org/10.1890/03-0788.","journal-article","Zotero bibliography","Related criterion","","Prediction 5: Genotype and phenotype stability","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"dietze_2018","Dietze et al. 2018","Dietze et al. 2018","","2018","","","","","","","https://search.crossref.org/?q=Dietze%20et%20al.%202018","","","Unresolved","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"dormann_2007","Dormann et al. 2007","Dormann et al. 2007","Dormann, Carsten F, et al.","2007","Methods to Account for Spatial Autocorrelation in the Analysis of Species Distributional Data: A Review","Ecography","30","5","609–28","10.1111/j.2007.0906-7590.05171.x","https://doi.org/10.1111/j.2007.0906-7590.05171.x","Dormann, Carsten F, et al. “Methods to Account for Spatial Autocorrelation in the Analysis of Species Distributional Data: A Review.” Ecography, vol. 30, no. 5, 2007, pp. 609–28, https://doi.org/10.1111/j.2007.0906-7590.05171.x.","journal-article","Zotero bibliography","Core criterion","Prediction 13: Independence of species observations; Projection 13: Independence of species observations","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"dormann_2013","Dormann et al. 2013","Dormann et al. 2013","Dormann, Carsten F., et al.","2013","Collinearity: A Review of Methods to Deal with It and a Simulation Study Evaluating Their Performance","Ecography","36","1","27–46","10.1111/j.1600-0587.2012.07348.x","https://doi.org/10.1111/j.1600-0587.2012.07348.x","Dormann, Carsten F., et al. “Collinearity: A Review of Methods to Deal with It and a Simulation Study Evaluating Their Performance.” Ecography, vol. 36, no. 1, 2013, pp. 27–46, https://doi.org/10.1111/j.1600-0587.2012.07348.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 23: Collinearity in predictors is treated","Prediction 29: Predictor variables are appropriately reduced, if applicable; Projection 23: Collinearity in predictors is treated; Projection 29: Predictor variables are appropriately reduced, if applicable","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"dubos_2022","Dubos et al. 2022","Dubos et al. 2022","Dubos, Nicolas, et al.","2022","Assessing the Effect of Sample Bias Correction in Species Distribution Models","Ecological Indicators","145","","109487","10.1016/j.ecolind.2022.109487","https://doi.org/10.1016/j.ecolind.2022.109487","Dubos, Nicolas, et al. “Assessing the Effect of Sample Bias Correction in Species Distribution Models.” Ecological Indicators, vol. 145, 2022, p. 109487, https://doi.org/10.1016/j.ecolind.2022.109487.","journal-article","Zotero bibliography","Core criterion","Prediction 10: Species data covers the environmental extent; Prediction 21.1: Model complexity and structure are appropriate (under fit models); Projection 10: Species data covers the environmental extent; Projection 21.1: Model complexity and structure are appropriate (under fit models)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"evans_2013","Evans et al. 2013","Evans et al. 2013","Evans, Matthew R., et al.","2013","Do Simple Models Lead to Generality in Ecology?","Trends in Ecology & Evolution","28","10","578–83","10.1016/j.tree.2013.05.022","https://doi.org/10.1016/j.tree.2013.05.022","Evans, Matthew R., et al. “Do Simple Models Lead to Generality in Ecology?” Trends in Ecology & Evolution, vol. 28, no. 10, Oct. 2013, pp. 578–83, https://doi.org/10.1016/j.tree.2013.05.022.","journal-article","Zotero bibliography","Core criterion","Prediction 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.1: Model complexity and structure are appropriate (under fit models)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"evans_2015","Evans et al. 2015","Evans et al. 2015","","2015","","","","","","","https://search.crossref.org/?q=Evans%20et%20al.%202015","","","Unresolved","Related criterion","","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"farrel_2019","Farrel et al. 2019","Farrel et al. 2019","","2019","","","","","","","https://search.crossref.org/?q=Farrel%20et%20al.%202019","","","Unresolved","Related criterion","","Prediction 29: Predictor variables are appropriately reduced, if applicable; Projection 29: Predictor variables are appropriately reduced, if applicable","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"feng_2019","Feng et al. 2019","Feng et al. 2019","Feng, Xiao, Daniel S. Park, et al.","2019","Collinearity in Ecological Niche Modeling: Confusions and Challenges","Ecology and Evolution","9","18","10365–76","10.1002/ece3.5555","https://doi.org/10.1002/ece3.5555","Feng, Xiao, Daniel S. Park, et al. “Collinearity in Ecological Niche Modeling: Confusions and Challenges.” Ecology and Evolution, vol. 9, no. 18, 2019, pp. 10365–76, https://doi.org/10.1002/ece3.5555.","journal-article","Zotero bibliography","Related criterion","","Prediction 29: Predictor variables are appropriately reduced, if applicable; Projection 17: Predictors are relevant for the species response; Projection 20: Non-novel conditions; Projection 29: Predictor variables are appropriately reduced, if applicable","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"fern_2019","Fern et al. 2019","Fern et al. 2019","Fern, Rachel R., et al.","2019","Incorporating Biotic Relationships Improves Species Distribution Models: Modeling the Temporal Influence of Competition in Conspecific Nesting Birds","Ecological Modelling","408","","108743","10.1016/j.ecolmodel.2019.108743","https://doi.org/10.1016/j.ecolmodel.2019.108743","Fern, Rachel R., et al. “Incorporating Biotic Relationships Improves Species Distribution Models: Modeling the Temporal Influence of Competition in Conspecific Nesting Birds.” Ecological Modelling, vol. 408, 2019, p. 108743, https://doi.org/10.1016/j.ecolmodel.2019.108743.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"finn_2024","Finn et al. 2024","Finn et al. 2024","Finn, Kaegan J., et al.","2024","Deciding Where to Put Them: Sensitivity Tests and Independent Evaluation Are Critical When Using Species Distribution Models to Inform Conservation Translocations","Journal of Applied Ecology","61","4","713–32","10.1111/1365-2664.14616","https://doi.org/10.1111/1365-2664.14616","Finn, Kaegan J., et al. “Deciding Where to Put Them: Sensitivity Tests and Independent Evaluation Are Critical When Using Species Distribution Models to Inform Conservation Translocations.” Journal of Applied Ecology, vol. 61, no. 4, 2024, pp. 713–32, https://doi.org/10.1111/1365-2664.14616.","journal-article","Zotero bibliography","Related criterion","","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"foden_2007","Foden et al. 2007","Foden et al. 2007","Foden, Wendy, et al.","2007","A Changing Climate Is Eroding the Geographical Range of the Namib Desert Tree Aloe through Population Declines and Dispersal Lags","Diversity and Distributions","13","5","645–53","10.1111/j.1472-4642.2007.00391.x","https://doi.org/10.1111/j.1472-4642.2007.00391.x","Foden, Wendy, et al. “A Changing Climate Is Eroding the Geographical Range of the Namib Desert Tree Aloe through Population Declines and Dispersal Lags.” Diversity and Distributions, vol. 13, no. 5, 2007, pp. 645–53, https://doi.org/10.1111/j.1472-4642.2007.00391.x.","journal-article","Zotero bibliography","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"foster_2022","Foster et al. 2022","Foster et al. 2022","Foster, Sharla L., et al.","2022","Testing the Assumption of Environmental Equilibrium in an Invasive Plant Species over a 130 Year History","Ecography","2022","12","e12933","10.1111/ecog.06284","https://doi.org/10.1111/ecog.06284","Foster, Sharla L., et al. “Testing the Assumption of Environmental Equilibrium in an Invasive Plant Species over a 130 Year History.” Ecography, vol. 2022, no. 12, 2022, p. e12933, https://doi.org/10.1111/ecog.06284.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"fourcade_2014","Fourcade et al. 2014","Fourcade et al. 2014","Fourcade, Yoan, Jan O. Engler, et al.","2014","Mapping Species Distributions with MAXENT Using a Geographically Biased Sample of Presence Data: A Performance Assessment of Methods for Correcting Sampling Bias","PLOS ONE","9","5","1–13","10.1371/journal.pone.0097122","https://doi.org/10.1371/journal.pone.0097122","Fourcade, Yoan, Jan O. Engler, et al. “Mapping Species Distributions with MAXENT Using a Geographically Biased Sample of Presence Data: A Performance Assessment of Methods for Correcting Sampling Bias.” PLOS ONE, vol. 9, no. 5, May 2014, pp. 1–13, https://doi.org/10.1371/journal.pone.0097122.","journal-article","Zotero bibliography","Related criterion","","Prediction 22: Biases and noise in species datasets are treated ; Prediction 6: Understanding the ecological processes driving species distribution and abundances; Projection 22: Biases and noise in species datasets are treated ; Projection 6: Understanding the ecological processes driving species distribution and abundances","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"fourcade_2018","Fourcade et al. 2018","Fourcade et al. 2018","Fourcade, Yoan, Aurélien G. Besnard, et al.","2018","Paintings Predict the Distribution of Species, or the Challenge of Selecting Environmental Predictors and Evaluation Statistics","Global Ecology and Biogeography","27","2","245–56","10.1111/geb.12684","https://doi.org/10.1111/geb.12684","Fourcade, Yoan, Aurélien G. Besnard, et al. “Paintings Predict the Distribution of Species, or the Challenge of Selecting Environmental Predictors and Evaluation Statistics.” Global Ecology and Biogeography, vol. 27, no. 2, 2018, pp. 245–56, https://doi.org/10.1111/geb.12684.","journal-article","Zotero bibliography","Related criterion","","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"franks_2007","Franks et al. 2007","Franks et al. 2007","","2007","","","","","","","https://search.crossref.org/?q=Franks%20et%20al.%202007","","","Unresolved","Core criterion; Related criterion","Prediction 2: Niche stability; Projection 2: Niche stability","Prediction 5: Genotype and phenotype stability","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"gabor_2020","Gábor et al. 2020","Gábor et al. 2020","Gábor, Lukáš, Vítězslav Moudrý, et al.","2020","The Effect of Positional Error on Fine Scale Species Distribution Models Increases for Specialist Species","Ecography","43","2","256–69","10.1111/ecog.04687","https://doi.org/10.1111/ecog.04687","Gábor, Lukáš, Vítězslav Moudrý, et al. “The Effect of Positional Error on Fine Scale Species Distribution Models Increases for Specialist Species.” Ecography, vol. 43, no. 2, 2020, pp. 256–69, https://doi.org/10.1111/ecog.04687.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 8: Lack of spatial positional error; Projection 8: Lack of spatial positional error","Prediction 15: Predictors spatial resolution matches species data; Projection 15: Predictors spatial resolution matches species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"gabor_2022","Gábor et al. 2022","Gábor et al. 2022","Gábor, Lukáš, Walter Jetz, et al.","2022","Positional Errors in Species Distribution Modelling Are Not Overcome by the Coarser Grains of Analysis","Methods in Ecology and Evolution","13","10","2289–302","10.1111/2041-210X.13956","https://doi.org/10.1111/2041-210X.13956","Gábor, Lukáš, Walter Jetz, et al. “Positional Errors in Species Distribution Modelling Are Not Overcome by the Coarser Grains of Analysis.” Methods in Ecology and Evolution, vol. 13, no. 10, 2022, pp. 2289–302, https://doi.org/10.1111/2041-210X.13956.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 8: Lack of spatial positional error; Projection 8: Lack of spatial positional error","Prediction 15: Predictors spatial resolution matches species data; Projection 15: Predictors spatial resolution matches species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"gallien_2010","Gallien et al. 2010","Gallien et al. 2010","","2010","","","","","","","https://search.crossref.org/?q=Gallien%20et%20al.%202010","","","Unresolved","Core criterion","Prediction 2: Niche stability; Projection 2: Niche stability","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"gallien_2012","Gallien et al. 2012","Gallien et al. 2012","Gallien, Laure, et al.","2012","Invasive Species Distribution Models – How Violating the Equilibrium Assumption Can Create New Insights","Global Ecology and Biogeography","21","11","1126–36","10.1111/j.1466-8238.2012.00768.x","https://doi.org/10.1111/j.1466-8238.2012.00768.x","Gallien, Laure, et al. “Invasive Species Distribution Models – How Violating the Equilibrium Assumption Can Create New Insights.” Global Ecology and Biogeography, vol. 21, no. 11, Nov. 2012, pp. 1126–36, https://doi.org/10.1111/j.1466-8238.2012.00768.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 1: Species-environment equilibrium; Prediction 2: Niche stability; Projection 1: Species-environment equilibrium; Projection 2: Niche stability","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"guevara_2017","Guevara et al. 2017","Guevara et al. 2017","Guevara, Lázaro, et al.","2018","Toward Ecologically Realistic Predictions of Species Distributions: A Cross-Time Example from Tropical Montane Cloud Forests","Global Change Biology","24","4","1511–22","10.1111/gcb.13992","https://doi.org/10.1111/gcb.13992","Guevara, Lázaro, et al. “Toward Ecologically Realistic Predictions of Species Distributions: A Cross-Time Example from Tropical Montane Cloud Forests.” Global Change Biology, vol. 24, no. 4, 2018, pp. 1511–22, https://doi.org/10.1111/gcb.13992.","journal-article","Zotero bibliography","Related criterion","","Prediction 33: Extrapolation approach is appropriate","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Guevara et al. 2017""; Zotero gives first author ""Guevara"" and publication year 2018. Confirm the author/year and update the source citation if appropriate."
"guillaumot_2019","Guillaumot et al. 2019","Guillaumot et al. 2019","Guillaumot, Charlène, et al.","2019","Broad-Scale Species Distribution Models Applied to Data-Poor Areas","Progress in Oceanography","175","","198–207","10.1016/j.pocean.2019.04.007","https://doi.org/10.1016/j.pocean.2019.04.007","Guillaumot, Charlène, et al. “Broad-Scale Species Distribution Models Applied to Data-Poor Areas.” Progress in Oceanography, vol. 175, 2019, pp. 198–207, https://doi.org/10.1016/j.pocean.2019.04.007.","journal-article","Zotero bibliography","Core criterion","Prediction 30: Performance/evaluation metrics are appropriate; Projection 30: Performance/evaluation metrics are appropriate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"guisan_2007","Guisan et al. 2007","Guisan et al. 2007","Guisan, Antoine, Catherine H. Graham, et al.","2007","Sensitivity of Predictive Species Distribution Models to Change in Grain Size","Diversity and Distributions","13","3","332–40","10.1111/j.1472-4642.2007.00342.x","https://doi.org/10.1111/j.1472-4642.2007.00342.x","Guisan, Antoine, Catherine H. Graham, et al. “Sensitivity of Predictive Species Distribution Models to Change in Grain Size.” Diversity and Distributions, vol. 13, no. 3, 2007, pp. 332–40, https://doi.org/10.1111/j.1472-4642.2007.00342.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Projection 16.1: Predictors resolution matches response scale (spatial)","Prediction 15: Predictors spatial resolution matches species data; Projection 15: Predictors spatial resolution matches species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"guisan_2017","Guisan et al. 2017","Guisan et al. 2017","Guisan, Antoine, Wilfried Thuiller, et al.","2017","Habitat Suitability and Distribution Models: With Applications in R","","","","","","https://search.crossref.org/?q=Guisan%20et%20al.%202017","Guisan, Antoine, Wilfried Thuiller, et al. Habitat Suitability and Distribution Models: With Applications in R. 2017. Originally published by Cambridge.","book","Zotero bibliography","Core criterion; Related criterion","Prediction 10: Species data covers the environmental extent; Prediction 13: Independence of species observations; Prediction 16.1: Predictors resolution matches response scale (spatial); Prediction 16.2: Predictors resolution matches response scale (temporal); Prediction 30: Performance/evaluation metrics are appropriate; Projection 10: Species data covers the environmental extent; Projection 13: Independence of species observations; Projection 16.1: Predictors resolution matches response scale (spatial); Projection 16.2: Predictors resolution matches response scale (temporal); Projection 30: Performance/evaluation metrics are appropriate","Prediction 11: Species data covers the geographic extent; Prediction 25: Training samples are representative; Prediction 26: Statistical methods and algorithms employed are appropriate; Prediction 27: Shape of the species and predictors relationships is appropriate ; Prediction 4.2: Eltonian noise (negative interactions); Prediction 9: Unbiased species data; Projection 11: Species data covers the geographic extent; Projection 25: Training samples are representative; Projection 26: Statistical methods and algorithms employed are appropriate; Projection 27: Shape of the species and predictors relationships is appropriate ; Projection 4.2: Eltonian noise (negative interactions); Projection 9: Unbiased species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"guisan_2025","Guisan et al. 2025","Guisan et al. 2025","Guisan, Antoine, Mathieu Chevalier, et al.","2025","Spatially Nested Species Distribution Models (N-SDM): An Effective Tool to Overcome Niche Truncation for More Robust Inference and Projections","Journal of Ecology","113","7","1588–605","10.1111/1365-2745.70063","https://doi.org/10.1111/1365-2745.70063","Guisan, Antoine, Mathieu Chevalier, et al. “Spatially Nested Species Distribution Models (N-SDM): An Effective Tool to Overcome Niche Truncation for More Robust Inference and Projections.” Journal of Ecology, vol. 113, no. 7, 2025, pp. 1588–605, https://doi.org/10.1111/1365-2745.70063.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 1: Species-environment equilibrium; Prediction 10: Species data covers the environmental extent; Prediction 13: Independence of species observations; Prediction 21.1: Model complexity and structure are appropriate (under fit models); Prediction 31: Setting an appropriate threshold, if applicable; Projection 1: Species-environment equilibrium; Projection 10: Species data covers the environmental extent; Projection 13: Independence of species observations; Projection 21.1: Model complexity and structure are appropriate (under fit models); Projection 31: Setting an appropriate threshold, if applicable","Prediction 11: Species data covers the geographic extent; Prediction 25: Training samples are representative; Prediction 4.2: Eltonian noise (negative interactions); Projection 11: Species data covers the geographic extent; Projection 25: Training samples are representative; Projection 4.2: Eltonian noise (negative interactions)","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"haddou_2022","Haddou et al. 2022","Haddou et al. 2022","Haddou, Yacob, et al.","2022","Widespread Extinction Debts and Colonization Credits in United States Breeding Bird Communities","Nature Ecology & Evolution","6","3","324–31","10.1038/s41559-021-01653-3","https://doi.org/10.1038/s41559-021-01653-3","Haddou, Yacob, et al. “Widespread Extinction Debts and Colonization Credits in United States Breeding Bird Communities.” Nature Ecology & Evolution, vol. 6, no. 3, Mar. 2022, pp. 324–31, https://doi.org/10.1038/s41559-021-01653-3.","journal-article","Zotero bibliography","Core criterion","Projection 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"hanspach_2010","Hanspach et al. 2010","Hanspach et al. 2010","","2010","","","","","","","https://search.crossref.org/?q=Hanspach%20et%20al.%202010","","","Unresolved","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"heikkinen_2006","Heikkinen et al. 2006","Heikkinen et al. 2006","Heikkinen, R. K., et al.","2006","Methods and Uncertainties in Bioclimatic Envelope Modelling under Climate Change","Progress in Physical Geography","30","6","751–77","10.1177/0309133306071957","https://doi.org/10.1177/0309133306071957","Heikkinen, R. K., et al. “Methods and Uncertainties in Bioclimatic Envelope Modelling under Climate Change.” Progress in Physical Geography, vol. 30, no. 6, 2006, pp. 751–77, https://doi.org/10.1177/0309133306071957.","journal-article","Zotero bibliography","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"heikkinen_2007","Heikkinen et al. 2007","Heikkinen et al. 2007","Heikkinen, R. K., et al.","2006","Methods and Uncertainties in Bioclimatic Envelope Modelling under Climate Change","Progress in Physical Geography","30","6","751–77","10.1177/0309133306071957","https://doi.org/10.1177/0309133306071957","Heikkinen, R. K., et al. “Methods and Uncertainties in Bioclimatic Envelope Modelling under Climate Change.” Progress in Physical Geography, vol. 30, no. 6, 2006, pp. 751–77, https://doi.org/10.1177/0309133306071957.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 4.1: Eltonian noise (positive interactions); Projection 4.1: Eltonian noise (positive interactions)","Prediction 4.2: Eltonian noise (negative interactions); Projection 4.2: Eltonian noise (negative interactions)","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Heikkinen et al. 2007""; Zotero gives first author ""Heikkinen"" and publication year 2006. Confirm the author/year and update the source citation if appropriate."
"hernandez_2006","Hernandez et al. 2006","Hernandez et al. 2006","Hernandez, Pilar A., et al.","2006","The Effect of Sample Size and Species Characteristics on Performance of Different Species Distribution Modeling Methods","Ecography","29","5","773–85","10.1111/j.0906-7590.2006.04700.x","https://doi.org/10.1111/j.0906-7590.2006.04700.x","Hernandez, Pilar A., et al. “The Effect of Sample Size and Species Characteristics on Performance of Different Species Distribution Modeling Methods.” Ecography, vol. 29, no. 5, 2006, pp. 773–85, https://doi.org/10.1111/j.0906-7590.2006.04700.x.","journal-article","Zotero bibliography","Related criterion","","Prediction 11: Species data covers the geographic extent; Prediction 12: Species data sample size is appropriate; Prediction 18: All predictors relevant for the species response are included; Prediction 25: Training samples are representative; Prediction 9: Unbiased species data; Projection 11: Species data covers the geographic extent; Projection 12: Species data sample size is appropriate; Projection 18: All predictors relevant for the species response are included; Projection 25: Training samples are representative; Projection 9: Unbiased species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"hijmans_2012","Hijmans et al. 2012","Hijmans et al. 2012","","2012","","","","","","","https://search.crossref.org/?q=Hijmans%20et%20al.%202012","","","Unresolved","Related criterion","","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"hintze_2021","Hintze et al. 2021","Hintze et al. 2021","Hintze, Frederico, et al.","2021","Bioacoustics for in Situ Validation of Species Distribution Modelling: An Example with Bats in Brazil","PLOS ONE","16","10","1–19","10.1371/journal.pone.0248797","https://doi.org/10.1371/journal.pone.0248797","Hintze, Frederico, et al. “Bioacoustics for in Situ Validation of Species Distribution Modelling: An Example with Bats in Brazil.” PLOS ONE, vol. 16, no. 10, Oct. 2021, pp. 1–19, https://doi.org/10.1371/journal.pone.0248797.","journal-article","Zotero bibliography","Related criterion","","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
