ID,Model_type,Model_stage,Model_step,Criterion,Description,Violation,Solutions,Justification,Underprediction_error_certainty,Overprediction_error_certainty,Direct_related_IDs,Indirect_related_IDs,All_related_IDs,Citations
21.2,Projection,Model building,Model settings/complexity,Model complexity and structure are appropriate (over fit models),"The Eltonian noise hypothesis states that local biotic interactions do not alter species’ environmental niches at larger scales, only introduce statistical noise. Instead, species niche is assumed to be dominantly determined by climate (Soley-Guardia et al. 2024). Most SDMs rely on this hypothesis and thus, often only include abiotic variables as predictors. Yet, biotic interactions are among the reasons why a species may not be at equilibrium with their environment (Richmond et al. 2010, Jeschke & Strayer 2008).","There is growing evidence that this assumption can be frequently violated, supported by improved SDMs when biotic interactions are included (e.g., Fern et al. 2019, Boulangeat et al. 2012, Godsoe & Harmon 2012, Suttle et al. 2007). In some cases (e.g., boreal caribou, wolf, and moose; Boutin et al. 2012), there is evidence that competition and/or predation restrict the distribution of species (Poggiato et al. 2025). In other cases, it is clear that mutualism and/or symbiosis allow species to persist. By ignoring biotic interactions, SDMs may capture the Grinnellian (fundamental bioclimatic) niche instead of the Eltonian (realized biotic) niche (Soley-Guardia et al. 2024). However, Godsoe & Harmon (2012) highlight that violation of this assumption is not universal. Instead, it depends on the species, type of biotic interaction, and modelling method (Araújo & Luoto 2007). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023)., Acknowledge modelers were unable to address this assumption.","When projecting across space and/or time, overfitted models can result in both underestimation and/or overestimation, as the predicted response curves break down when extrapolated under novel conditions (e.g., Muhling et al. 2020, Braunisch et al. 2013). Rare species and small sample sizes may be more susceptible to this artifact (Brun et al. 2019). ",Sometimes,Sometimes,"12, 26, 27, 29",,"12, 26, 27, 29",Soley-Guardia et al. 2024; Richmond et al. 2010; Jeschke & Strayer 2008; Fern et al. 2019; Boulangeat et al. 2012; Godsoe & Harmon 2012; Suttle et al. 2007; Boutin et al. 2012; Poggiato et al. 2025; Araújo & Luoto 2007; Ramampiandra et al. 2023; Muhling et al. 2020; Braunisch et al. 2013; Brun et al. 2019
23,Prediction,Model building,"Treatments, fittings, tunning",Collinearity in predictors is treated,"SDMs assume there is no collinearity between predictors (i.e., non-independence of predictors via a linear relationship; Dormann et al. 2013).","Violation of this criteria occurs when failing to treat collinearity in predictors or when treatment is not appropriate or does not correctly address the issue (Araújo et al. 2019). However, see criteria “Predictor variables are appropriately reduced, if applicable”.","The simplest approach is to identify highly correlated variables (often using a correlation matrix or the Variance Inflation Factor (VIF)) and remove one from each highly correlated pair., ""Implement dimensionality reduction techniques (PCAs Partial least squares, etc.)."", ""Algorithm solutions (regularization techniques, type of algorithm, etc.)."", Acknowledge modelers were unable to address this assumption.","When SDMs are built using strongly co-linear or correlated predictors, their effects on the response variable cannot be separated, leading to severe structural instability (Araújo et al. 2019). For prediction models, while the resulting map may be correct – provided that the collinearity is stable across the entire analysis extent – the underlying model should not be used for explaining ecological requirements. ",Rarely,Rarely,,,,Dormann et al. 2013; Araújo et al. 2019
24,Prediction,Model building,"Treatments, fittings, tunning",Modelling and parameter uncertainty are dealt with,"SDMs have multiple sources of model and parameter value uncertainty that should be assessed and incorporated into the analysis (Araújo et al. 2019). Beyond data uncertainty (see criteria “Unbiased species data” and “Uncertainty in predictor variables is accounted for”), one of the largest sources of variation in SDM predictions can be attributed to the algorithm of choice, particularly when projecting to future climate scenarios (Watling et al. 2015, Buisson et al. 2010). Several decisions around model parameterization – mainly those related to model complexity and flexibility – also affect predictions and can thus contribute to uncertainty (Araújo & Guisan 2006). Additional sources of model and parameter uncertainty may include alternative model structures, initial conditions, and parameter estimation or values (Beale & Lennon 2012). For the related case of structural model misspecification, such as omitting key biological or environmental processes from the model equations, see criteria “All predictors relevant for the species response are included”.",This criteria is violated if the most important sources of uncertainty in model and parameter value are not addressed or comprehensively characterized (see Araújo et al. 2019 for a summary of approaches for addressing uncertainty).,"Spend effort on reducing SDM extrapolation rather than improving model fit (e.g. fitting species data over a broader range of environmental conditions). (Brodie et al. 2022)., Identify which uncertainties dominate your predictions (Dietze et al. 2018)., Quantify uncertainty in model predictions (e.g. Thomas et al. 2024)., Validate predictions using new data sets., Using a combination of multiple diverging earth system models and multiple types or parameterizations of SDMs will effectively capture uncertainty. (Brodie et al. 2022)., Quantify uncertainty over time; as SDM uncertainty can dominate at longer time horizons (>40 years); and decadal variability can drive nondirectional trends in uncertainty. (Brodie et al. 2022). See also (e.g. Thomas et al. 2024; Morley et al. 2020)., Acknowledge modelers were unable to address this assumption.","The main consequence of violation of this criteria is a false sense of precision of model outputs (Beale & Lennon 2011). Whether underestimation or overestimation occurs depends highly on the modeling context, but both can occur and its effects are expected to be amplified for projection models (Heikkinen et al. 2006).",Sometimes,Sometimes,,,,Araújo et al. 2019; Watling et al. 2015; Buisson et al. 2010; Araújo & Guisan 2006; Beale & Lennon 2012; Brodie et al. 2022; Dietze et al. 2018; Thomas et al. 2024; Morley et al. 2020; Beale & Lennon 2011; Heikkinen et al. 2006
24,Projection,Model building,"Treatments, fittings, tunning",Modelling and parameter uncertainty are dealt with,"SDMs have multiple sources of model and parameter value uncertainty that should be assessed and incorporated into the analysis (Araújo et al. 2019). Beyond data uncertainty (see criteria “Unbiased species data” and “Uncertainty in predictor variables is accounted for”), one of the largest sources of variation in SDM predictions can be attributed to the algorithm of choice, particularly when projecting to future climate scenarios (Watling et al. 2015, Buisson et al. 2010). Several decisions around model parameterization – mainly those related to model complexity and flexibility – also affect predictions and can thus contribute to uncertainty (Araújo & Guisan 2006). Additional sources of model and parameter uncertainty may include alternative model structures, initial conditions, and parameter estimation or values (Beale & Lennon 2012). For the related case of structural model misspecification, such as omitting key biological or environmental processes from the model equations, see criteria “All predictors relevant for the species response are included”.",This criteria is violated if the most important sources of uncertainty in model and parameter value are not addressed or comprehensively characterized (see Araújo et al. 2019 for a summary of approaches for addressing uncertainty).,"Spend effort on reducing SDM extrapolation rather than improving model fit (e.g. fitting species data over a broader range of environmental conditions). (Brodie et al. 2022)., Identify which uncertainties dominate your predictions (Dietze et al. 2018)., Quantify uncertainty in model predictions (e.g. Thomas et al. 2024)., Validate predictions using new data sets., Using a combination of multiple diverging earth system models and multiple types or parameterizations of SDMs will effectively capture uncertainty. (Brodie et al. 2022)., Quantify uncertainty over time; as SDM uncertainty can dominate at longer time horizons (>40 years); and decadal variability can drive nondirectional trends in uncertainty. (Brodie et al. 2022). See also (e.g. Thomas et al. 2024; Morley et al. 2020)., Acknowledge modelers were unable to address this assumption.","The main consequence of violation of this criteria is a false sense of precision of model outputs (Beale & Lennon 2011). Whether underestimation or overestimation occurs depends highly on the modeling context, but both can occur and its effects are expected to be amplified for projection models (Heikkinen et al. 2006).",Sometimes,Sometimes,,,,Araújo et al. 2019; Watling et al. 2015; Buisson et al. 2010; Araújo & Guisan 2006; Beale & Lennon 2012; Brodie et al. 2022; Dietze et al. 2018; Thomas et al. 2024; Morley et al. 2020; Beale & Lennon 2011; Heikkinen et al. 2006
30,Prediction,Model assessment,Model estimates,Performance/evaluation metrics are appropriate,"The performance of a model can be assessed in many different ways. Araújo et al. (2019) suggests three dimensions of evaluation: realism, accuracy, and generality. Which dimension(s) to evaluate will depend on the question and model objective but typically, evaluation metrics (i.e., statistical tools used to evaluate model outputs) are concerned with model accuracy and generality. In turn, defining which model performance metrics are appropriate and exhaustively summarize model performance depends primarily on the structure of the species occurrence data (i.e., presence-absence or presence-only) and on the type of the response variable (e.g., count, presence-absence; Guisan et al. 2017). Other factors such as the robustness of the metric to species prevalence (i.e., the proportion of sampled sites where the species is present versus absent) or the requirement for a threshold-dependent versus -independent metric given the research objective should also be taken into account. For guidance on selecting appropriate metrics, see Guisan et al. (2017).","This criteria can be violated in multiple ways. For example, a projection model violates this criteria if it fails to evaluate its generality (Araújo et al. 2019). A model built using presence-only and pseudo-absence data violates this criteria if computing statistics such as AUC (area under the receiver-operating characteristic curve) and TSS (true skill statistic) that require the use of true absences to calculate the confusion matrix (Guillaumot et al. 2019). Jiménez-Valverde (2011) also suggests that “[w]hen the potential distribution is the goal of the research, the AUC is not an appropriate performance measure because the weight of commission errors is much lower than that of omission errors”.","Selecting the Right Metrics: Different metrics (AUC, TSS, Kappa, Tjur's R2), etc.) evaluate different aspects of model performance (e.g. discrimination, calibration, accuracy) and respond differently to factors like species prevalence., ""Consider Ecological Plausibility: Do not just focus on a high performance score; ensure that the model's relationships with environmental variables are ecologically relevant and make sense based on existing knowledge of the species (e.g. expected temperature responses)."", Acknowledge modelers were unable to address this assumption.","When model assessment fails to employ the appropriate evaluation metrics, it risks not capturing or inappropriately assessing prediction errors and other potential shortcomings in the model performance. In other words, the incorrect metric will not cause a prediction error, but it can compromise the ability to correctly detect prediction error. For example, when modelling rare species, inappropriate metrics may inflate the sense of accuracy and miss the detection of underestimation or overestimation (Allouche et al. 2006). Alternatively, in the case of modelling potential distribution, an evaluation metric that weights false negatives and false positives equally will be misleading, as overestimation is unlikely a concern (Jiménez-Valverde 2011). In the case of applying a presence-absence metric to a presence-only data, evaluation results might suggest the model is overestimating suitable habitat (i.e., by inflating commission error; Soley-Guardia et al. 2024, Lobo et al. 2008).",Sometimes,Sometimes,,,,Araújo et al. 2019; Guisan et al. 2017; Guillaumot et al. 2019; Jiménez-Valverde 2011; Allouche et al. 2006; Soley-Guardia et al. 2024; Lobo et al. 2008
30,Projection,Model assessment,Model estimates,Performance/evaluation metrics are appropriate,"The performance of a model can be assessed in many different ways. Araújo et al. (2019) suggests three dimensions of evaluation: realism, accuracy, and generality. Which dimension(s) to evaluate will depend on the question and model objective but typically, evaluation metrics (i.e., statistical tools used to evaluate model outputs) are concerned with model accuracy and generality. In turn, defining which model performance metrics are appropriate and exhaustively summarize model performance depends primarily on the structure of the species occurrence data (i.e., presence-absence or presence-only) and on the type of the response variable (e.g., count, presence-absence; Guisan et al. 2017). Other factors such as the robustness of the metric to species prevalence (i.e., the proportion of sampled sites where the species is present versus absent) or the requirement for a threshold-dependent versus -independent metric given the research objective should also be taken into account. For guidance on selecting appropriate metrics, see Guisan et al. (2017).","This criteria can be violated in multiple ways. For example, a projection model violates this criteria if it fails to evaluate its generality (Araújo et al. 2019). A model built using presence-only and pseudo-absence data violates this criteria if computing statistics such as AUC (area under the receiver-operating characteristic curve) and TSS (true skill statistic) that require the use of true absences to calculate the confusion matrix (Guillaumot et al. 2019). Jiménez-Valverde (2011) also suggests that “[w]hen the potential distribution is the goal of the research, the AUC is not an appropriate performance measure because the weight of commission errors is much lower than that of omission errors”.","Selecting the Right Metrics: Different metrics (AUC, TSS, Kappa, Tjur's R2), etc.) evaluate different aspects of model performance (e.g. discrimination, calibration, accuracy) and respond differently to factors like species prevalence., ""Consider Ecological Plausibility: Do not just focus on a high performance score; ensure that the model's relationships with environmental variables are ecologically relevant and make sense based on existing knowledge of the species (e.g. expected temperature responses)."", Acknowledge modelers were unable to address this assumption.","When model assessment fails to employ the appropriate evaluation metrics, it risks not capturing or inappropriately assessing prediction errors and other potential shortcomings in the model performance. In other words, the incorrect metric will not cause a prediction error, but it can compromise the ability to correctly detect prediction error. For example, when modelling rare species, inappropriate metrics may inflate the sense of accuracy and miss the detection of underestimation or overestimation (Allouche et al. 2006). Alternatively, in the case of modelling potential distribution, an evaluation metric that weights false negatives and false positives equally will be misleading, as overestimation is unlikely a concern (Jiménez-Valverde 2011). In the case of applying a presence-absence metric to a presence-only data, evaluation results might suggest the model is overestimating suitable habitat (i.e., by inflating commission error; Soley-Guardia et al. 2024, Lobo et al. 2008).",Sometimes,Sometimes,,,,Araújo et al. 2019; Guisan et al. 2017; Guillaumot et al. 2019; Jiménez-Valverde 2011; Allouche et al. 2006; Soley-Guardia et al. 2024; Lobo et al. 2008
31,Prediction,Model assessment,Interpretation,"Setting an appropriate threshold, if applicable","Some SDM approaches require transforming continuous habitat suitability predictions into a binary (presence/absence) map, whether it is a requirement for an evaluation metric derived from the confusion matrix (e.g., True Skill Statistic) or for interpretation purposes (e.g., to support conservation decisions). This transformation requires defining a threshold, above and below which a species/habitat is to be considered present/suitable and absent/unsuitable, respectively. The choice of threshold is known to directly influence the balance between omission and commission errors (Guisan et al. 2013, Benito et al. 2013, Liu et al. 2005). Therefore, it is assumed that the appropriate threshold is set by modellers based on the acceptable ecological stakes of omission versus commission errors (given the applied objective), and on the structure of the species data (Abdel-Moniem et al. 2025, Liu et al. 2005). ","The main way this criteria is violated is by relying on default threshold values, such as the subjective but widely used 0.5 threshold (Liu et al. 2005). Selecting a threshold value without consideration of the quality and prevalence of the species occurrence data can also lead to violation (Liu et al. 2005).",Compare multiple thresholding methods (see Abdel-Moniem et al. 2025; Guisan et al. (2025).,"Raising or lowering the threshold leads to a trade-off between commission and omission errors (e.g., Benito et al. 2013). A threshold value that is too low relative to the ideal results in the classification of low suitability sites as ""suitable"". The consequence is overestimation. In contrast, a threshold value that is too high relative to the ideal results in the exclusion of otherwise suitable sites. The consequence is underestimation. This affects both prediction and projection models.",Sometimes,Sometimes,,,,Guisan et al. 2013; Benito et al. 2013; Liu et al. 2005; Abdel-Moniem et al. 2025; Guisan et al. 2025
31,Projection,Model assessment,Interpretation,"Setting an appropriate threshold, if applicable","Some SDM approaches require transforming continuous habitat suitability predictions into a binary (presence/absence) map, whether it is a requirement for an evaluation metric derived from the confusion matrix (e.g., True Skill Statistic) or for interpretation purposes (e.g., to support conservation decisions). This transformation requires defining a threshold, above and below which a species/habitat is to be considered present/suitable and absent/unsuitable, respectively. The choice of threshold is known to directly influence the balance between omission and commission errors (Guisan et al. 2013, Benito et al. 2013, Liu et al. 2005). Therefore, it is assumed that the appropriate threshold is set by modellers based on the acceptable ecological stakes of omission versus commission errors (given the applied objective), and on the structure of the species data (Abdel-Moniem et al. 2025, Liu et al. 2005). ","The main way this criteria is violated is by relying on default threshold values, such as the subjective but widely used 0.5 threshold (Liu et al. 2005). Selecting a threshold value without consideration of the quality and prevalence of the species occurrence data can also lead to violation (Liu et al. 2005).",Compare multiple thresholding methods (see Abdel-Moniem et al. 2025; Guisan et al. (2025).,"Raising or lowering the threshold leads to a trade-off between commission and omission errors (e.g., Benito et al. 2013). A threshold value that is too low relative to the ideal results in the classification of low suitability sites as ""suitable"". The consequence is overestimation. In contrast, a threshold value that is too high relative to the ideal results in the exclusion of otherwise suitable sites. The consequence is underestimation. This affects both prediction and projection models.",Sometimes,Sometimes,,,,Guisan et al. 2013; Benito et al. 2013; Liu et al. 2005; Abdel-Moniem et al. 2025; Guisan et al. 2025
34,Projection,Model assessment,Transferability,Model transferability is accurate ,"The assumption of a projection model is that it is able to accurately predict species responses under novel conditions. The paradox is that, in most cases, validation of projection models is not possible as future data does not yet exist or data might be severely limited (e.g., during early stages of a biological invasion; Araújo et al. 2005). Therefore, modelers must instead demonstrate that extrapolation risk has been minimized (e.g., Mesgaran et al. 2014; also see related criteria “Extrapolation approach is appropriate”) and that response curves conform to biological and physiological evidence. Modelers may also test predictions via temporal hindcasting (e.g., Martínez-Meyer et al. 2004), by simulating virtual species (e.g., Meynard et al. 2019), and/or using spatial transferability approaches (e.g., Charney et al. 2021, Roberts et al. 2017).","Directly validating projection models to determine whether or not violation has occurred is not feasible (Araújo et al. 2005). But, given future times and/or different locations are likely to experience novel conditions than the ones considered in the model training, violation of this criteria can easily occur (Soley-Guardia et al. 2024). The risk of violation is higher if the criteria “Extrapolation approach is appropriate” is violated, and/or if modelers fail to evaluate response curves or implement indirect validation approaches. Additionally, violation of the criteria “Model complexity and structure are appropriate” may also increase the risk of violation (Charney et al. 2021, Yates et al. 2018).",Acknowledge modelers were unable to address this assumption.,"While violation of this criteria is certain to lead to prediction error, the direction of prediction error depends on the ecological and modelling context. Also see criteria “Extrapolation approach is appropriate” and “Model complexity and structure are appropriate” for more.",Sometimes,Sometimes,,,,Araújo et al. 2005; Mesgaran et al. 2014; Martínez-Meyer et al. 2004; Meynard et al. 2019; Charney et al. 2021; Roberts et al. 2017; Soley-Guardia et al. 2024; Yates et al. 2018
35,Prediction,Model assessment,Comparing across species and places,"Model outputs scaling into absolute probability of presence is appropriate, if applicable","When an SDM is built without true absence information, its output can only represent relative suitability (i.e., suitability relative to the local background environment; Guillera-Arroita et al. 2014, Phillips & Elith 2013). If the modeller or end-users intend to compare the outputs of an SDM across different species and/or locations, outputs need to be expressed in absolute probability of presence. Therefore, meaningful comparisons require the transformation of outputs into absolute probability of presence through a scaling function (Soley-Guardia et al. 2024, Phillips & Elith 2013). This transformation relies on using prevalence and/or local abundance data to parameterize the scaling parameters. ","This criteria can be easily violated as prevalence and/or abundance data rarely exists across large extents and multiple species, preventing estimation of scaling parameters (Soley-Guardia et al. 2024). Thus, modellers that rely on default values of scaling parameters or on presence-background data to estimate scaling parameters violate this criteria (Guillera-Arroita et al. 2014). Additionally, violation can also occur simply by failing to scale the SDM output altogether.","Estimates of occupancy or abundance can be used to set the scaling parameters rather than relying on default values (Soley et al . 2024)., Make assumptions regarding scaling parameters for sets of species with similar natural histories (Soley et al . 2024)., Acknowledge modelers were unable to address this assumption.","If this criteria is violated, comparison between SDM outputs across different species and/or locations will be nonsensical (Soley-Guardia et al. 2024). Since relative suitability represents suitability relative to the local background environment, a relative suitability value of 0.8 in a highly degraded landscape does not compare to the same suitability value in a landscape where good quality habitat is highly available. While violation will not lead to prediction errors, it will impact the conclusion of comparisons (e.g., lead to severe misallocations of conservation resources).",Rarely,Rarely,,,,Guillera-Arroita et al. 2014; Phillips & Elith 2013; Soley-Guardia et al. 2024
35,Projection,Model assessment,Comparing across species and places,"Model outputs scaling into absolute probability of presence is appropriate, if applicable","When an SDM is built without true absence information, its output can only represent relative suitability (i.e., suitability relative to the local background environment; Guillera-Arroita et al. 2014, Phillips & Elith 2013). If the modeller or end-users intend to compare the outputs of an SDM across different species and/or locations, outputs need to be expressed in absolute probability of presence. Therefore, meaningful comparisons require the transformation of outputs into absolute probability of presence through a scaling function (Soley-Guardia et al. 2024, Phillips & Elith 2013). This transformation relies on using prevalence and/or local abundance data to parameterize the scaling parameters. ","This criteria can be easily violated as prevalence and/or abundance data rarely exists across large extents and multiple species, preventing estimation of scaling parameters (Soley-Guardia et al. 2024). Thus, modellers that rely on default values of scaling parameters or on presence-background data to estimate scaling parameters violate this criteria (Guillera-Arroita et al. 2014). Additionally, violation can also occur simply by failing to scale the SDM output altogether.","Estimates of occupancy or abundance can be used to set the scaling parameters rather than relying on default values (Soley et al . 2024)., Make assumptions regarding scaling parameters for sets of species with similar natural histories (Soley et al . 2024)., Acknowledge modelers were unable to address this assumption.","If this criteria is violated, comparison between SDM outputs across different species and/or locations will be nonsensical (Soley-Guardia et al. 2024). Since relative suitability represents suitability relative to the local background environment, a relative suitability value of 0.8 in a highly degraded landscape does not compare to the same suitability value in a landscape where good quality habitat is highly available. While violation will not lead to prediction errors, it will impact the conclusion of comparisons (e.g., lead to severe misallocations of conservation resources).",Rarely,Rarely,,,,Guillera-Arroita et al. 2014; Phillips & Elith 2013; Soley-Guardia et al. 2024
